cod;nombre;nombre largo;detalle;familia ;clase ;costo;lista 
178;TV CONSUMER 65  LED SMART 4K;TV CONSUMER 65  LED SMART 4K;Colores Brillantes . Mayor Nitidez . Alta Definicion De imagen . Full Hd . Galerias Multimedia Y Musica . 2 Puertos Hdmi . 2 Puertos Usb . Wifi . Youtube . Netflix . Facebook . Twitter . Android;9;9001;5000000;7000000
174;TERMOCALEFON 50 LTS CONSUMER;TERMOCALEFON 50 LTS CONSUMER;Tanque interno Esmaltado. . Aislacion De Poliuretano. . Valvula De Seguridad. . Bajo Consumo De Energia. . Termostato Regulable. . Barra De Proteccion Anti-Corrosion. . Conexion De Entrada Y Salida inferior. . Med. 460X460X645 - Kg 15.7 - 1500W 50Hz;25;25001;750000;1050000
1;MINI VENTILADOR CONSUMER AZUL;MINI VENTILADOR CONSUMER HUMIDIFICADOR AZUL;Este Practico Ventilador Humidificador Portatil Con Bateria Recargable Lo Mantendra Fresco Donde Vaya.  . Para Uso En El Hogar, Oficina O Para Viaje. Dise¤o 2 En 1, Se Puede Utilizar Como Un Humidificador Y Un Ventilador.  . Refresca El Aire, Reduce El Polvo Y Bacterias.  . Alcanza Una Frescura Entre 3ø Y 5øC E Hidrata La Piel.;25;25008;110000;154000
2;MINI VENTILADOR CONSUMER ROSA;MINI VENTILADOR CONSUMER HUMIDIFICADOR ROSA ;Con Bateria Recargable Para Mantenerse Fresco A Donde Vaya.  . Para Uso Domestico, Oficina O Viaje.  . Dise¤o 2 En , Se Puede Utilizar Como Humidificador Y Como Ventilador.  . Refresca El Aire, Reduce Polvo Y Bacterias.  . Alcanza Entre 3 Y 5 E Hidrata La Piel.  . Color Rosa;25;25008;110000;154000
3;MINI VENTILADOR CONSUMER HUM;MINI VENTILADOR CONSUMER HUMIDIFICADOR VERDE ;Con Bateria Recargable Para Mantenerse Fresco A Donde Vaya.  . Para Uso Domestico, Oficina O Viaje.  . Dise¤o 2 En , Se Puede Utilizar Como Humidificador Y Como Ventilador.  . Refresca El Aire, Reduce Polvo Y Bacterias.  . Alcanza Entre 3 Y 5 E Hidrata La Piel.  . Color Verde;25;25008;110000;154000
4;VENTILADOR PARED CONSUMER 30 ;VENTILADOR DE PARED CONSUMER INDUSTRIAL 30 ;Ventilador De Pared. . Diametro: 76,2 Cm. . 3 Aspas Metalicas. . 3 Velocidades. . Potencia: 250W. . Oscilacion Y Regulador De angulo. . Motor De Larga Vida util. . ideal Para Disminuir La Temperatura En Grandes Espacios.;25;25002;460000;644000
5;VENTILADOR DE PIE CONSUMER 30;VENTILADOR DE PIE CONSUMER INDUSTRIAL 30 ;Diametro: 76.2 Cm. . 3 Aspas Metalicas. . 3 Velocidades. . Potencia: 250W. . Oscilacion Y Regulador De angulo. Motor De Larga Vida util. ideal Para Disminuir La Temperatura En Grandes Espacios.;25;25002;480000;672000
6;VENTILADOR DE PIE CONSUMER 16;VENTILADOR DE PIE CONSUMER A BATERIA RECARGABLE 16  5VEL.LUCES LED C CONTROL;Bateria Recargable Con indicador De Consumo Y Carga . 40 Cm De Diametro . 5 Velocidades . Control Remoto . Velocidad 5: 4 Horas . Velocidad 4: 6,5 Horas . Velocidad 3:13,5 Horas . Velocidad 2:24 Horas . Velocidad 1:30 Horas;25;25002;450000;630000
10;VENTILADOR CHICO CONSUMER NEGR;VENTILADOR CHICO CONSUMER NEGRO;Ventilador Humidificador  . Consumer Chico  . Negro;25;25002;630000;882000
11;VENTILADOR DE PARED CONSUMER;VENTILADOR DE PARED CONSUMER INDUSTRIAL C HUMIDIFICADOR;Control Remoto Full. Alcance Ma?Ximo De Brisa De Agua 8 Mts. . Reduce La Temp. En 4 A 8 Grados. . Dia?Metro De La He?Lice: 65 Cm. . Material De La He?Lice: Acero. Tanque De Agua: 8 Lts.. . 3 Vel. . Regulador De Humidificador. . Oscilacio?N De 90 Grados Ajustable;25;25002;1450000;2030000
12;VENTILADOR DE PIE CONSUMER 25;VENTILADOR DE PIE CONSUMER 25  INDUSTRIAL C HUMIDIFICADOR;Tanque De Agua: 36 Litros. . 3 Potentes Velocidades. . Regulador De Humidificador Autonomi?A De Brisa De Agua: 8 Horas. . Oscilacio?N De 90 Grados Ajustable. Altura Ajustable. Voltaje 220V.;25;25002;1700000;2380000
28;VISICOOLER CONSUMER DE 350LTS;VISICOOLER CONSUMER DE 350LTS;Cenefa Con Luz interior. . Color Blanco Y Frente Negro. . 4 Estantes, Parrrillas Removibles Y Regulables. Ventilador interno . Control De Temperatura. . Medidas 52X47X1.80;36;36001;2700000;3780000
30;VISICOOLER CONSUMER 420LTS;VISICOOLER CONSUMER DE 420 LITROS FRIO HUMEDO;Cenefa Con Luz interior.  . Color Blanco Y Frente Negro 4 Estantes . Parrillas Removibles Y Regulables.  . Ventilador interno.  . Control De Temperatura.;36;36001;3250000;4550000
31;VISICOOLER CONSUMER 500L HUMED;VISICOOLER DE 500 LITROS HUMEDO CONSUMER;Visicooler Consumer  . 500Lts  . Humedo ;36;36001;3950000;5530000
32;VISICOOLER CONSUMER 500L;VISICOOLER DE 500 LITROS FRIO SECO CONSUMER;Visicooler Consumer  . 500Lts  . Frio Seco ;36;36001;4350000;6090000
33;VISICOOLER CONSUMER 550L;VISICOOLER DE 550 LITROS FRIO SECO CONSUMER;Visicooler Consumer  . 550 Litros  . Frio Seco;36;36001;6200000;8680000
236;SPEAKER EVO CONSUMER;SPEAKER EVO CONSUMER;Speaker: 5,25?. Aux in.  . Fm Radio.  . Led Display.  . Tf Card.  . Bateria: iones De Litio, 7.4V 2000 Mah;21;21002;440000;616000
