Codigo Proveedor ;Nombre ;Nombre Largo ;Caracteristicas;Familia;CLASE ;COSTO ;LISTA 
RC1GE;SOPORTE GIRAT UNIQUE 42 A 70;SOPORTE GIRATORIO UNIQUE DE 42  A 70  CAPACIDAD  35,5  KG MOD. RC-1GE;Capacidad  35,5  Kg Mod. RC . 1GE  .  VESA 600*400mm  .  Extencion de la pared 39,8 cm;9;9002;462000;647000
RC1M;SOPORTE GIRAT UNIQUE 26 A 52;SOPORTE GIRATORIO UNIQUE DE 26  A 52  CAPACIDAD  35 KG MOD. RC-1M;Capacidad  35 Kg Mod. RC . 1M  .  VESA 400*400mm  .  Extencion de la pared 50cm;9;9002;441000;618000
RC1MC;SOPORTE GIRAT UNIQUE 26 A 55;SOPORTE GIRATORIO UNIQUE DE 26  A 55  CAPACIDAD  27 KG MOD. RC-1MC;Capacidad  27 Kg Mod. RC . 1MC  .  VESA 400*400mm  .  Extencion de la pared 49cm;9;9002;336000;471000
RC1MM;SOPORTE GIRAT UNIQUE 26 A 55;SOPORTE GIRATORIO UNIQUE DE 26  A 55  CAPACIDAD  30 KG MOD. RC-1MM;Capacidad  30 Kg Mod. RC . 1M  .  VESA 400*400mm  .  Extencion de la pared 37cm;9;9002;259000;363000
RC1XG;SOPORTE GIRAT UNIQUE 42 A 84;SOPORTE GIRATORIO UNIQUE DE 42 A 84  CAPACIDAD  60 KG MOD. RC-1XG;Capacidad  60 Kg Mod. RC . 1XG  .  VESA 600*400mm  .  Extencion de la pared 42 cm;9;9002;777000;1088000
RC2G;SOPORTE  UNIQUE 32 A 65;SOPORTE FIJO UNIQUE DE E 32  A 65  CAPACIDAD  60 KG  MOD. RC-2G;Capacidad  60 Kg  .  .  VESA 600*400mm;9;9002;175000;245000
RC2GE;SOPORTE  UNIQUE 32 A 65;SOPORTE FIJO UNIQUE DE 32  A 65  CAPACIDAD  40 KG  MOD. RC-2GE;Capacidad  40 Kg  .  .  VESA 600*400mm;9;9002;133000;187000
RC2M;SOPORTE  UNIQUE 26 A 55;SOPORTE FIJO UNIQUE DE  26  A 55  CAPACIDAD  45,5 KG  MOD. RC-2M;Capacidad  45,5 Kg  .  VESA 400*400mm;9;9002;133000;187000
RC2MC;SOPORTE  UNIQUE 26 A 42;SOPORTE FIJO UNIQUE DE 26  A 42  CAPACIDAD  30 KG  MOD. RC-2MC; Capacidad  30 Kg  .  VESA 200*200mm;9;9002;77000;108000
RC2ME;SOPORTE  UNIQUE 26 A 52;SOPORTE FIJO UNIQUE DE 26  A 52  CAPACIDAD  35 KG  MOD. RC-2ME; Capacidad  35 Kg  .  VESA 400*400mm;9;9002;98000;138000
RC2XG;SOPORTE  UNIQUE 42 A 84;SOPORTE FIJO UNIQUE DE 42  A 84  CAPACIDAD  80 KG MOD. RC-2XG;Capacidad  80 Kg Mod. RC . 2XG  .  VESA 800*500mm ;9;9002;210000;294000
RC2XXG;SOPORTE GIRAT UNIQUE 42 A 84;SOPORTE GIRATORIO UNIQUE DE 42  A 84  CAPACIDAD 150 KG MOD. RC-2XXG;Capacidad 150 Kg Mod. RC . 2XXG  .  VESA 900*600mm ;9;9002;441000;618000
RC3G;SOPORTE BASCUL UNIQUE 26 A 52;SOPORTE BASCULANTE UNIQUE DE 26  A  52  CAPACIDAD  50 KG MOD. RC-3G;Capacidad  50 Kg         Inclinacion: +15/ .  15   VESA:100/500*400mm;9;9002;280000;392000
