1;nom;nom largo;detalle;fam;clase;costo;Lista 
11600;SPLIT  JAM 12.000BTU ECO;AIRE ACONDICIONADOR JAM 12.000BTU F/C JF-12CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;2100000;2940000
30109;RACK POLITORNO CAIRO ;RACK POLITORNO CAIRO 170241 - 500MM  TV 40 TABACO;Rack Politorno Cairo 170241 - 500Mm  Tv 40 Tabaco;2;2003;355000;497000
11565;ESCRITORIO POLITORNO MALTA 2CJ;ESCRITORIO POLITORNO MALTA - 2 CAJONES 1171 ;Escritorio Politorno Malta - 2 Cajones 1171 - Color Disponible Negro Y Tabaco;2;2003;360000;504000
30103;RACK POLITORNO OSASCO;RACK POLITORNO OSASCO 2 PUERTAS 170198 TV 55 IMBUIA/ARTICO;Rack Politorno Osasco 2 Puertas 170198 Tv 55 Imbuia/Artico;2;2003;460000;644000
11539;PLANCHA OSTER TURBO;PLANCHA OSTER GCSTCS-401-057 TURBO A VAPOR APAGADO INTELIGENTE  2200W;Plancha Oster Gcstcs-401-057 Turbo A Vapor Apagado Inteligente  2200W;13;13003;362000;507000
11538;PLANCHA VAPOR OSTER 2200WTS;PLANCHA VAPOR OSTER GCSTCC3000-057 INALAMBRICA 2200WTS APAGADO INTELIGENTE;Plancha Vapor Oster Gcstcc3000-057 Inalambrica 2200Wts Apagado Inteligente;13;13003;389000;545000
11532;"VENTILADOR  DE PARED JAM 30"" ";VENTILADOR INDUSTRIAL DE PARED JAM JM130C 4 CUCHIL/NEGRO 30 C/ CONTROL 250W;Ventilador Industrial De Pared Jam Jm130C 4 Cuchil/Negro 30 C/ Control 250W;25;25002;475000;665000
11529;"VENTILADOR DE PIE JAM 30"" ";VENTILADOR INDUSTRIAL DE PIE JAM JM130 4CUCHIL/NEGRO30 BASE RED. 250W 220V/50HZ;Ventilador Industrial De Pie Jam Jm130 4Cuchil/Negro30 Base Red. 250W 220V/50Hz;25;25002;420000;588000
11474;EXHIBIDORA UGUR P HELADO 400L;EXHIBIDORA UGUR P/ HELADO UDD400SCN V/R 400LTS-HORIZONTAL TERM. ANµLOGO;Exhibidora Ugur P/ Helado Udd400Scn V/R 400Lts-Horizontal Term. An†logo;5;5004;3800000;5320000
11462;HORNO ELECTRICO JAM 60 LTIMER ;HORNO ELECTRICO JAM 60 LTS DN60E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;15;15002;750000;1050000
11461;HORNO ELECTRICO JAM 50L TIMER ;HORNO ELECTRICO JAM 50 LTS DN50E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;15;15002;680000;952000
11441;BIBLIOTECA  POLITORNO 200076;BIBLIOTECA  POLITORNO CON PUERTAS 200076- 2 PUERTAS 3 COMPARTIMIENTOS;Biblioteca  Politorno Con Puertas 200076- 2 Puertas 3 Compartimientos Color Disponible Negro Tabaco ;2;2004;490000;686000
11440;CAMA CUNA POLITORNO ;CAMA CUNA POLITORNO MADRI FUNCIONAL + CAMA AUXILIAR BLANCA 200077 C/ COMODA;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C/ Comoda;2;2003;950000;1330000
11427;EXHIBIDORA UGUR P HELADO 400L;"EXHIBIDORA UGUR P/ HELADO UDD400SCEBN V/C 400LTS-HORIZONTAL TERM
ANµLOGO";"Exhibidora Ugur P/ Helado Udd400Scebn V/C 400Lts-Horizontal Term
An†logo";5;5004;4050000;5670000
11414;SPLIT  JAM 36.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 36.000BTU F/C JF-36CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;6200000;8680000
11406;EXHIBIDORA UGUR P HELADO 200L;EXHIBIDORA UGUR P/ HELADO UDD200SCEBN V/C 200LTS-HORIZONTAL TERM.;Exhibidora Ugur P/ Helado Udd200Scebn V/C 200Lts-Horizontal Term.;5;5004;3000000;4200000
11402;EXHIBIDOR VISICOOLER UGUR 372L;"EXHIBIDORA VISICOOLER UGUR USS374DTK, 372LTS S/ CENEFA, LUZ LED,
IND.TEMP.ANALOG";"Exhibidora Visicooler Ugur Uss374Dtk, 372Lts S/ Cenefa, Luz Led,
Ind.Temp.Analog";5;5004;3850000;5390000
11398;EXPRIMIDOR DE CITRICOS OSTER ;EXPRIMIDOR DE CITRICOS OSTER FPSTJU4175-051 JARRA 500ML 75 W DE POTENCIA;Exprimidor De Citricos Oster Fpstju4175-051 Jarra 500Ml 75 W De Potencia;1;1006;351000;492000
11396;EXHIBIDORA UGUR P HELADO 500L ;"EXHIBIDORA UGUR P/ HELADO UDD500SCEBN V/C-500 LTS HORIZONTAL TERM.
ANµLOGO";"Exhibidora Ugur P/ Helado Udd500Scebn V/C-500 Lts Horizontal Term.
An†logo";5;5004;4350000;6090000
11393;PLANCHA JAM A VAPOR VERTICAL ;PLANCHA JAM A VAPOR VERTICAL MY-GJ15B3W;Plancha Jam A Vapor Vertical My-Gj15B3W;13;13003;330000;462000
11391;HORNO JAM EMPOTRABLE 60I INOX ;HORNO JAM EMPOTRABLE BO-60IX INOX TEMP 240ùC. TIMER 90 MIN. 5 FUNC. C/ BANDEJA;Horno Jam Empotrable Bo-60Ix Inox Temp 240ùc. Timer 90 Min. 5 Func. C/ Bandeja;15;15002;1500000;2100000
11387;EXHIBIDOR VISICOOLER UGUR 690L;EXHIBIDORA VISICOOLER UGUR USS690DTKL- 690 LTS LUZ LED, IND. TEMP. ANµLOGO;Exhibidora Visicooler Ugur Uss690Dtkl- 690 Lts Luz Led, Ind. Temp. An†logo;5;5004;6800000;9520000
11383;EXHIBIDORA UGUR  P/HELADO ;EXHIBIDORA UGUR  P/ HELADO UDD500SCN  V/R 500LTS-HORIZONTAL TERM. ANALOGO;Exhibidora Ugur  P/ Helado Udd500Scn  V/R 500Lts-Horizontal Term. Analogo;5;5004;4050000;5670000
11382;EXHIBIDORA UGUR P HELADO 300L;EXHIBIDORA UGUR P/ HELADO UDD300SCN V/R 300LTS-HORIZONTAL TERM. ANµLOGO;Exhibidora Ugur P/ Helado Udd300Scn V/R 300Lts-Horizontal Term. An†logo;5;5004;3500000;4900000
11196;SANDWICHERA JAM JM 201 GRILL;SANDWICHERA JAM JM-201 BLANCA C/ PLACA GRILL;Sandwichera Jam Jm-201 Blanca C/ Placa Grill;1;1005;95000;133000
11195;EXPRIMIDORA JAM CANDY 85W 1,6L;EXPRIMIDORA JAM MOD. CANDY 85W 16LTS;Exprimidora Jam Mod. Candy 85W 16Lts;1;1006;115000;161000
10859;PLANCHA JAM A VAPOR ;PLANCHA JAM A VAPOR MOD.ES-5078;Plancha Jam A Vapor Mod.Es-5078;13;13003;85000;119000
10752;ESTANTERIA POLITORNO OURO ;ESTANTERIA POLITORNO OURO PRETO 190284 BLANCO (PATAS DE METAL);Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);2;2004;570000;798000
