;nom corto ;nom largo ;detalle;fam;clase;;
9960;HELADERA JAM BCA F/H 2P 300L;HELADERA JAM BLANCA F/H  JAMD-273F 2P.  300LTS;Heladera Jam Blanca F/H  Jamd-273F 2P.  300Lts;5;5001;1620000;2268000
9990;BEBEDERO JAM DE PIE   F/C ;BEBEDERO JAM DE PIE  MYL1675S-W AGUA F/C CAP:20LTS;Bebedero Jam De Pie  Myl1675S-W Agua F/C Cap:20Lts;5;5003;850000;1190000
11902;COCINA JAM EVA TOP GLASS 4HB;COCINA A GAS JAM EVA TOP GLASS 4HB NEGRO CON LUZ EN EL HORNO;Cocina A Gas Jam Eva Top Glass 4Hb Negro Con Luz En El Horno;15;15006;990000;1386000
3027;COMODA POLITORNO 5CAJ 2169;COMODA POLITORNO 5 CAJONES 2169 TABACO;Comoda Politorno 5 Cajones 2169 Tabaco Color Disponible Tabaco - Blanco - Rosa ;2;2002;450000;630000
10225;LICUADORA OSTER XPERT;LICUADORA OSTER XPERT ALTO DESEMP. VASO TRITAN BLSTVB-P00-051;Licuadora Oster Xpert Alto Desemp. Vaso Tritan Blstvb-P00-051;1;1003;1677000;2348000
10228;COCINA VITRO JAM 2 QUEMADORES ;COCINA VITROCERAMICA JAM 2 QUEMADORES DONNA 3000VC;Cocina Vitroceramica Jam 2 Quemadores Donna 3000Vc;15;15004;370000;518000
10229;COCINA VITRO.JAM 1 QUEMADOR ;COCINA VITROCERAMICA JAM 1 QUEMADOR SIMPLEX 2000VC;Cocina Vitroceramica Jam 1 Quemador Simplex 2000Vc;15;15004;180000;252000
10289;MUEBLE POLITORNO  P/HORNO ;MUEBLE POLITORNO GABINETE P/ HORNO DE 45LTS MICRO TOLEDO 190654 BLANCO;Mueble Politorno Gabinete P/ Horno De 45Lts Micro Toledo 190654 Blanco;2;2005;330000;462000
10450;HERVIDORA JAM DE VIDRIO 1.7 L;HERVIDORA JAM DE VIDRIO 1.7 LT MOD. MATE 3000;Hervidora Jam De Vidrio 1.7 Lt Mod. Mate 3000;1;1011;130000;182000
10451;ARMARIO POLITORNO  ALTO ARTICO;ARMARIO POLITORNO ORGANIZADOR LIMEIRA ALTO 3265 ARTICO;Armario Politorno Organizador Limeira Alto 3265 Artico;2;2004;410000;574000
10489;"VENTILADOR DE PARED JAM 18"" ";VENTILADOR DE PARED JAM FW-18  75W 18 NEGRO CON CONTROL;Ventilador De Pared Jam Fw-18  75W 18 Negro Con Control;25;25002;240000;336000
10721;FREEZER VERTICAL JAM BCO  210L;FREEZER VERTICAL JAM BLANCO JAMS-170W  210LTS;Freezer Vertical Jam Blanco Jams-170W  210Lts;5;5002;2090000;2926000
10735;MICROONDAS JAM 20L BCO ;MICROONDAS JAM 20LTS. MOD. MB720JAY BLANCO C/ LUZ INTERNA  700W 230V/50HZ;Microondas Jam 20Lts. Mod. Mb720Jay Blanco C/ Luz Interna  700W 230V/50Hz;15;15003;400000;560000
10736;MICROONDAS JAM 36L ESPEJADA ;MICROONDAS JAM 36LTS MOD AX360JMK GRILL SILVER PUERTA ESPEJADA 1000W 230V/50HZ;Microondas Jam 36Lts Mod Ax360Jmk Grill Silver Puerta Espejada 1000W 230V/50Hz;15;15003;750000;1050000
10752;ESTANTERIA POLITORNO OURO ;ESTANTERIA POLITORNO OURO PRETO 190284 BLANCO (PATAS DE METAL);Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);2;2004;570000;798000
5914;CUNA POLITORNO ORLANDO 2542;CUNA POLITORNO ORLANDO BLANCO/ROSA 2542;Cuna Politorno Orlando Blanco/Rosa 2542;2;2003;465000;651000
10859;PLANCHA JAM A VAPOR ;PLANCHA JAM A VAPOR MOD.ES-5078;Plancha Jam A Vapor Mod.Es-5078;13;13003;75000;105000
11195;EXPRIMIDORA JAM CANDY 85W 1,6L;EXPRIMIDORA JAM MOD. CANDY 85W 16LTS;Exprimidora Jam Mod. Candy 85W 16Lts;1;1006;115000;161000
11565;ESCRITORIO POLITORNO MALTA 2CJ;ESCRITORIO POLITORNO MALTA - 2 CAJONES 1171 ;Escritorio Politorno Malta - 2 Cajones 1171 - Color Disponible Negro Y Tabaco;2;2003;340000;476000
