Codigo Proveedor ;Nombre Producto;descripcion larga ;Detalle ;familia ;clase;costo ;lista 
todocost11;Maq Coser Brother Bm3850;Maq De Coser Brother Bm3850;"74 Funciones De Costura
Cose Edredones
Bobinado Rapido
Luz Led Incorporado
Ojal Automatico 1 Paso 
Enhebrador Automatico
Incluye Cd Instructivo Y Mesa Extensora
Tecnologia Japones";35;35015;1990000;2070000
todocost12;Maq Coser Brother Sq9100;Maq De Coser Brother Sq9100;"120 Funciones De Costura
Costura De Letras, Enhebrador Aut. 
Cose Edredones, Funcion Con O Sin Pedal
Tecnologia Japonesa";35;35015;3050000;3172000
todocost13;Overlock  Brother 3534Dt;Overlock Familiar Brother 3534Dt;"Overlock  3Y 4 Hilos
2 Agujas
Hace Puntada Feston
Largo De Puntada: 0,8Mm A 4,0 Mm
Brazo Libro Para Costura En Prendas Tubulares";35;35015;2950000;3068000
todocost14;Collareta  Brother Cv3440;Collareta Familiar Brother Cv3440;"4 Hilos, 3 Agujas
Area De Trabajo Extra Grande: 6.1""X3.9""
Incluye Luz Led
Brazo Libre";35;35015;3500000;3640000
todocost15;Maq Coser Y Bordar Bro Nv960Dl;Maq De Coser Y Bordar Brother Nv960Dl;"Cose Y Borda, Area De Bordado: 10X10Cm
6 Tipografias
Incluye Dise¤os De Disney, Usb Y Tarjeta
Tecnologia Japonesa, Regalo 2.500 Dise¤os";35;35015;5980000;6220000
todocost16;Bordadora Comput Brother Pe810;Bordadora Computarizada Brother Pe810L;"136 Dise¤os Incorporados En La Memoria
Incluye Puerto Usb Para Pc Y Pendrive
Enhebrador Automatico
Area De Bordado: 18X13Cm
Pantalla A Color Lcd 3,2"" X 1,8""
Velocidad: 650 Puntadas Por Minutos
Incluye 11 Fuentes De Letras
Incluye 2 Bastidores (10X10Cm : 18X13Cm)
Bordado En Keppi (Opcional)";35;35015;6950000;7228000
todocost17;Recta Industrial Gemsy Gem8900;Recta Industrial (Mecanica : Liviana) Gemsy Gem8900;"Recta Mecanica
1 Aguja
Para Tejido Liviano
Lubricacion Automatica
Largo De Puntada: 5Mm";35;35015;1990000;2070000
todocost18;Overlock Industrial Gem757F;Overlock Industrial (Normal) 5 Hilos Gemsy-Gem757F;"5 Hilos, 2 Agujas
Puntada: Surfilado
Lubricacion Automatica";35;35015;3100000;3224000
todocost19;Collareta Gemsy-Gem500B-01;Collareta (Normal) Gemsy-Gem500B-01;"Plana
5 Hilos, 3 Agujas
Distancia Entre Agujas: 6.4Mm
Puntada Cadena (Con Recubierto)";35;35015;4200000;4368000
todocost20;Recta Jack F4 ;Recta (Liviana) Jack F4 (Motor Incorporado);"Recta Industrial
Para Tejidos Livianos E Intermedio
Incluye Posicionador De Aguja
Incluye Motor Servo, Ahorra 80% De Energia, Velocidad Regulable
Panel Electronico Integrado En El Volante
Largo De Puntada: 5Mm
Incluye Luz Led
Velocidad: 5.000 Rpm";35;35015;2100000;2184000
todocost21;Overlock Jack E4-5-03/333 ;Overlock (5 Hilos) Jack E4-5-03/333 (Motor Incorporado);"5 Hilos, 2 Agujas
Puntada: Surfilado
Lubricacion Automatica
Motor Servo Direct Drive Incorporado En El Volante, Ahorra 80% De Energia, Silencioso Sin Correa";35;35015;3400000;3536000
todocost22;Collareta   Jack W4-D-01/02/03;Collareta (Normal) Jack W4-D-01/02/03/08ž364 (Motor Incorporado);"5 Hilos, 3 Agujas
Cama Plana
Incluye Garfio De Recubierto
Motor Servo Direct Drive Incorporado, Ahorrar 80% De Energia, Silencioso Sin Correa.
Distancia Entre Agujas: 6.4Mm";35;35015;4530000;4712000
todocost23;Cortadora Circul Gemsy Rxm100;Cortadora Circular Gemsy De 4 Pulg Rxm100 (100W);"Portatil, 4 Pulgadas
Capacidad De Corte: 5,9Cm
Con Afilador Automatico";35;35015;595000;619000
todocost24;Cortadora Circul Willpex Y-120;Cortadora Circular Willpex De 5 Pulg Y-120;"Capacidad De Corte: 8Cm, 5 Pulgadas
Con Afilador Automatico";35;35015;1980000;2060000
todocost25;Cosedora Bolsa Willpex Gk26-1A;Cosedora De Bolsa Willpex Gk26-1A;"1 Aguja  1 Hilo 
Puntada Cadena 
Especial Para Cerrar Bolsas De Carton, Alpillera, Etc 
Pedal Opcional
Portatil Lubricacion Automatica";35;35015;850000;884000
todocost26;Cosedora Bolsa WillpexGem26-2A;Cosedora De Bolsa (2 Agujas) Willpex-Gem26-2A;"2 Hilos,2 Agujas, Portatil, 
Mayor Resistencia En La Costura
Pedal Opcional
Opcional: Dobladillador Crepe";35;35015;2350000;2444000
todocost27;Plancha Prensa Willpex Wp562;Plancha Tipo Prensa Willpex Wp562;"Dimension: 34 Pulg.
A Vapor
Regulacion De Temperatura P/ Nylon, Licra, Algodon, Lino, Deposito De Agua Hasta 300Ml
Con Display Electronico
Mesada Opcional
Potencia: 1880W";35;35015;2150000;2236000
todocost28;Plancha Vapor Vert Willpex;Plancha A Vapor Vertical Willpex Suboom Sr-Ctc/918F;"A Vapor, Con Caldera
Util Para Cortinados Y Camisas 
Potencia: 1700W
Capacidad De Caldera: 4.7Kg
9 Potencias Regulable 
Regulacion Digital De Temperatura Y Potencia";35;35015;1200000;1248000
todocost29;Impresora Sublim Epson L3118;Impresora Sublimacion (A4) Epson L3118 - 4 Colores;"Area De Impresion Maxima 21 X 35 Cm
Incluye Funcion De Escaner
Resolucion: 5760 X 1440 Dpi De Resolucion Optimizada Para Varios Tipos De Papeles
Velocidad De Impresion: Documento Con Texto Negro Hasta 38Ppm
Documento Con Texto Color Hasta 15 Ppm
Capacidad De Hojas En Bandeja: 100 Hojas
Conectividad: Usb
Colores De Cartucho: Cyan, Negro, Magenta, Amarillo
Se Puede Utilizar Con Tinta Dye (Para Papel Normal) O Tinta De Sublimacion
No Incluye Tinta";35;35015;1760000;1831000
todocost30;Transfer Multif Willpex Smc801;Transfer (8 En 1) Multifuncional Willpex Smc801 / Hm-Mcin1;"Rapido Y Facil De Cambiar
Temperatura Regulable
Dimensiones De La Plancha: 28X38Cm
Presion Regulable
Accesorios Incluidos: Plancha Transfer 38X28 : Plancha Tazas Rectas 11 Onzas : Molde De Resistencia Para Tazas Conicas 11 Onzas : Molde De Resistencia Para Tazas Conicas 17 Onzas : Molde De Resistencia Para Gorras : Molde De Resistencia Para Platos 12 Cm Diametro : Molde De Resistencia Para Platos 16 Cm.
Potencia De La Maquina: 1400 W";35;35015;2580000;2684000
todocost31;Transfer Multif Willpex;Transfer (11 En 1) Multifuncional Willpex P8200-11;"Rapido Y Facil De Cambiar
Temperatura Regulable
Dimensiones De La Plancha: 29X38Cm
Presion Regulable
Accesorios Incluidos: 
Plancha Transfer 38X28 
Plancha Tazas
Resistencia Para Tazas Conicas 12 Onzas 
Resistencia Para Tazas Conicas 17 Onzas 
Resistencia Para Tazas Recta 9 Onzas 
Resistencia Para Tazas Recta 6 Onzas 
Resistencia Para Tazas Recta 16 Cm Para Botellas
Resistencia Para 12 Boligrafos En Uno 
Resistencia Para Gorras 
Resistencia Para Platos 10"" Diametro 
Resistencia Para Platos 8"" Diametro
Potencia De La Maquina: 1200 W";35;35015;3150000;3276000
;;;;;;;
;;;;;;;
;;;;;;;
