CONVERSOR DIGITALdigo Proveedor ;Nombre ;Detalle;Descripcion Larga;Familia;Clase ;COSTO;Precio Lista
1163056;"TELEVISOR MTEK 24"" LED";"Modelo:  MK24F1D
Pantalla:LED de 24"" 
Resolucion maxima: Full HD 1920 x 1080
INTERFAZ: HDMI - USB - VGA - YPbPr - Coaxial - Audio L/R - PC Audio - RF - Mini Jack 3.5 mm
";"TELEVISOR MTEK 24"" LED  MK24F1D HDMI / USB con Conversor Digital";9;9001;892000;1.248.800
878210;"TELEVISOR MTEK 65"" SMART";"Modelo:  MK65FU7
Pantalla: LED de 65""
Resolucion maxima: 4K Ultra HD 3840 x 2160
Sistema operativo: Basado en Android
CARACTERÖSTICAS: Conversor de TV Digital integrado - Soporta servicios de Streaming, como YouTube por ejemplo
Conectividad: Wi-Fi  ";"TELEVISOR MTEK 65""  MK65FU7 SMART  3HDMI / 1USB 2.0 / 1USB 3.0 con Conversor Digital";9;9001;4795000;6.713.000
552974;"TELEVISOR PROSPER 5 5"" ";"MARCA  Prosperar
MODELO  P-TV5
COLOR  Negro
PANTALLA  5 5 ""monocromo
ALTO PARLANTE  Integrado
VOLTAJE  110 ? 220 V ~ 50/60 Hz
POTENCIA  12 vatios
CARACTERISTICAS  Integra antena retractil ? Controles de volumen y sintonizacion integrados ? Compatible con el sistema de TV PAL-M ? VHF-L  VHF-H y UHF
RADIO  AM y FM
INTERFAZ  Entrada de antena ? AV ? Miniconector de 3 5 mm
COMIDA  Solicita 10 bater¡as UM-2  a traves de la entrada AC / DC o el cargador para Auto
PESO BRUTO  G   2078
DIMENSIONES DE EMBALAJE  CM   22 2 x 20 5 x 20 3
INCLUYE  Cable de alimentacion ? Cargador para auto ? Adaptador para antena externa ? Manual";"TELEVISOR PROSPER 5 5"" PTV5 RADIO AM/FM PORTATIL";9;9001;93300;130.620
1135541;"TELEVISOR SAMSUNG 32""SMART";"TELEVISOR SAMSUNG 32""UN32T4300AG 
Resolucion de la pantalla: HD  1366 x 768p 
Pantalla: LED de 32""SMART
Audio: Dolby Digital Plus
Motor de imagen: Hiperreal
Interfaz: 1 xLAN  2 x HDMI y 1 x USB
Conectividad: Wi-Fi
Sistema Operativo: TIZEN ";"TELEVISOR SAMSUNG 32""UN32T4300AG SMART HD Wi-Fi HDMI / USB con Conversor Digital";9;9001;2062000;2.886.800
1150520;"TELEVISOR SAMSUNG 43"" SMART ";"Modelo: Series UN43T5202AG 
Sistema operativo: Tizen
Resolucion maxima:Full HD 1920 x 1080
Pantalla: LED de 43""
Sonido: Dolby Audio
Conectividad: Wifi
Convertidor Digital ";"TELEVISOR SAMSUNG 43""UN43T5202AG SMART Full HD HDMI / USB con Conversor Digital";9;9001;2758000;3.861.200
1068610;"TELEVISOR SAMSUNG 49"" CURVO 4K";"Modelo: UN49NU7300G
Resolucion maxima: 4K Ultra HD 3840 x 2160p
Pantalla: LED de 49"" - Curved 4200R
Sonido: Dolby Audio Plus
Conectividad: Wireless y LAN  Puerto Ethernet 
Convertidor Digital
3 HDMI - 2 USB - Digital Audio Out - Entrada de Antena - LAN  Puerto Ethernet  - A V - YPbPr ";"TELEVISOR SAMSUNG 49""UN49NU7300G CURVED SMART 4K Ultra HD HDMI / USB / ISDB-T";9;9001;4286000;6.000.400
1161571;"TELEVISOR SAMSUNG 55""QLED";"Modelo: QN55Q60TAG 
Pantalla: QLED de 55""  16:9
Resolucion maxima: 4K Ultra HD 3840 x 2160
Sistema Operativo Tizen 
Procesador Quantum Lite
Dolby Digital Plus
3 HDMI - 2 USB - LAN  Puerto Ethernet  - Digital Audio Out - A V - Entrada de Antena";"TELEVISOR SAMSUNG 55""QN55Q60TAG QLED+CX Wi-Fi / Bluetooth + Soundbar R450 de 200 watts RMS";9;9001;7274000;10.183.600
1184549;"TELEVISOR SAMSUNG 55"" SMART 4K";"Modelo: UN55TU7000G
Resolucion de la pantalla: 4K UHD  3840 x 2160p 
Pantalla: LED de 55""
Procesador: Crystal 4K
Interfaz: 1 x LAN  3 x HDMI y 2 x USB
Transmision Digital: DVB-T2
Conectividad: Wi-Fi y Bluetooth 4 2
Sistema Operativo: TIZEN ";"TELEVISOR SAMSUNG 55""UN55TU7000G UHD SMAR 4K Ultra HD HDMI / USB con Conversor Digital";9;9001;4880000;6.832.000
1180114;"TELEVISOR SAMSUNG 58"" SMART 4K";"Modelo: UN58TU7100G
Resolucion de la pantalla: 4K UHD  3840 x 2160p 
Pantalla: LED de 58""
Procesador: Crystal 4K
Interfaz: 1 x LAN  3 x HDMI y 2 x USB
Transmision Digital: DVB-T2
Conectividad: Wi-Fi y Bluetooth 4 2
Sistema Operativo: TIZEN ";"TELEVISOR SAMSUNG 58""UN58TU7100G UHD SMAR 4K Ultra HD HDMI / USB con Conversor Digital";9;9001;5474000;7.663.600
1112900;"TELEVISOR SAMSUNG 65"" SMART 4K";"Modelo: UN65TU7100G 
Resolucion de la pantalla: 4K UHD  3840 x 2160p 
Pantalla: LED de 65""
Procesador: Crystal 4K
Interfaz: 1 x LAN  3 x HDMI y 2 x USB
Transmision Digital: DVB-T2
Conectividad: Wi-Fi y Bluetooth 4 2
Sistema Operativo: TIZEN ";"TELEVISOR SAMSUNG 65""UN65TU7100G  UHD SMAR 4K Ultra HD HDMI / USB con Conversor Digital";9;9001;7426000;10.396.400
