Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
10859;Plancha Jam A Vapor ;Plancha Jam A Vapor Mod.Es-5078;Plancha Jam A Vapor Mod.Es-5078;13;13003;60.000;84.000
11393;Plancha Jam A Vapor Vertical ;Plancha Jam A Vapor Vertical My-Gj15B3W;Plancha Jam A Vapor Vertical My-Gj15B3W;13;13003;290.000;406.000
9925;Centrifugadora Jam Inox 5,5Kg ;Centrifugadora Jam Tambor Inox 5,5 Kg 2800 Rpm;Centrifugadora Jam Tambor Inox 5,5 Kg 2800 Rpm;13;13002;515.000;721.000
5995;Secarropa Colgante Jam  10Kg;Secarropa Colgante Jam  Mod.Sr555 10Kg Gris/Blanco 4 Programas - 220V/50Hz;Secarropa Colgante Jam  Mod.Sr555 10Kg Gris/Blanco 4 Programas - 220V/50Hz;13;13002;630.000;882.000
4832;Secarropas Jam 6Kg. ;Secarropas Jam 6Kg. Mod.60/014 4 Programas Blanco;Secarropas Jam 6Kg. Mod.60/014 4 Programas Blanco;13;13002;1.420.000;1.988.000
11628;"Tv Jam Isdb-T Led 32"" ";"Tv Jam Isdb-T Led 32"" Mod Sk32Wh3 Resolución Hd:1.366X768P";"Tv Jam Isdb-T Led 32"" Mod Sk32Wh3 Resolución Hd:1.366X768P";9;9001;980.000;1.372.000
11580;"Tv Jam Isdb-T Smart 32"" ";"Tv Jam Isdb-T Smart 32"" Mod Sk32E10 Resolución Hd:1.366X768P  Sistema Op.Linux";"Tv Jam Isdb-T Smart 32"" Mod Sk32E10 Resolución Hd:1.366X768P  Sistema Op.Linux";9;9001;1.250.000;1.750.000
11581;"Tv Jam Isdb-T Smart 43"" ";"Tv Jam Isdb-T Smart 43"" Mod Sk43E10 Resolución Fhd:1,920X1,080P Sistema Op.Linux";"Tv Jam Isdb-T Smart 43"" Mod Sk43E10 Resolución Fhd:1,920X1,080P Sistema Op.Linux";9;9001;1.810.000;2.534.000
11582;"Tv Jam Isdb-T Smart 55""";"Tv Jam Isdb-T Smart 55""Mod Sk55U20 Resolución Uhd4K 3.840X2.160P Sistemaop.Linux";"Tv Jam Isdb-T Smart 55""Mod Sk55U20 Resolución Uhd4K 3.840X2.160P Sistemaop.Linux";9;9001;2.800.000;3.920.000
11429;"Tv Jam Smart 32"" ";"Tv Jam Smart 32"" Mod-Ja32Hd2000S, Hd,Hdmi, Usb, Ultra Slim";"Tv Jam Smart 32"" Mod-Ja32Hd2000S, Hd,Hdmi, Usb, Ultra Slim";9;9001;1.210.000;1.694.000
