Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista;
19013;Congelador Gelopar 220L ;Congelador Gelopar 220L Ghde-220 Vidrio Recto Desl -  Doble Accion;Congelador Gelopar 220L Ghde-220 Vidrio Recto Desl -  Doble Accion;5;5002;2800000;3920000;
3456;Congelador Gelopar 410L;Congelador Gelopar 410L Ghde-410 Vidrio Recto Desl -  Doble Accion;Congelador Gelopar 410L Ghde-410 Vidrio Recto Desl -  Doble Accion;5;5002;3450000;4830000;
6286;Exhib. Gelopar 1,29M  ;Exhib. Gelopar 1,29M  Vertical Abierto Gsto-130Pr Negro C/ Ind. De Temperatura;Exhib. Gelopar 1,29M  Vertical Abierto Gsto-130Pr Negro C/ Ind. De Temperatura;5;5004;14500000;20300000;
1946;Exhibidor Gelopar  578 L;Exhibidor Gelopar  578 Lts Vertical Gptf-570 Turmalina Blanco;Exhibidor Gelopar  578 Lts Vertical Gptf-570 Turmalina Blanco;5;5004;11500000;16100000;
11175;Expositor Vertical Gelopar  ;Expositor Vertical Abierto Gelopar  Gsto-1300 Pr Negro Temp. Positiva  1022 Lts;Expositor Vertical Abierto Gelopar  Gsto-1300 Pr Negro Temp. Positiva  1022 Lts;5;5004;15000000;21000000;
1977;Isla Doble Accion Gelopar ;Isla Doble Accion Gelopar 1,89M Gesv-190R Br V/R  Color Blanco o Negro ;Isla Doble Accion Gelopar 1,89M Gesv-190R Br V/R  Color Blanco;5;5002;6500000;9100000;
1950;Mostrador  Gelopar sin Bacha ;Mostrador De Apoyo Gelopar Refrigerado Gbfg-160 1,60M Sin Bacha;Mostrador De Apoyo Gelopar Refrigerado Gbfg-160 1,60M Sin Bacha;36;36001;12000000;16800000;
6627;Mostrador Gelopar De Apoyo;Mostrador Gelopar Refrigerado De Apoyo Gbfe-190 1.91M Puerta Ciega Ind. Digital;Mostrador Gelopar Refrigerado De Apoyo Gbfe-190 1.91M Puerta Ciega Ind. Digital;5;5002;7600000;10640000;
11111;Refrigerador Gelopar Vertical;Refrigerador Gelopar Vertical Gptu-230 228Lts Temp. Positiva Blanco;Refrigerador Gelopar Vertical Gptu-230 228Lts Temp. Positiva Blanco;5;5004;4300000;6020000;
104005;Refrigerador Vertical Gelopar;Refrigerador Vertical Gelopar 572Lts Gldr-570Pr Ploteado Miller;Refrigerador Vertical Gelopar 572Lts Gldr-570Pr Ploteado Miller;5;5004;5200000;7280000;
1982;Vitrina  Termica Gelopar ;Vitrina  Termica Gelopar Mesp-075Cz Star Plus 0,72M . C/ Bandeja , Gris;Vitrina  Termica Gelopar Mesp-075Cz Star Plus 0,72M . C/ Bandeja , Gris;5;5004;5000000;7000000;
10767;Vitrina Caliente/Friogelopar;Vitrina Caliente/Friogelopar Gbqa-140Cz,Starplus 1,40M,C/Controld Temp.  Gris;Vitrina Caliente/Friogelopar Gbqa-140Cz,Starplus 1,40M,C/Controld Temp.  Gris;5;5004;7800000;10920000;
10774;Vitrina Confitera Gelopar;Vitrina Confitera Gelopar Gpea-075R Pr Aurora 0.75M V/R,Temp Media, Negro, Led;Vitrina Confitera Gelopar Gpea-075R Pr Aurora 0.75M V/R,Temp Media, Negro, Led;5;5004;4500000;6300000;
2001;Vitrina Neutra Gelopar;Vitrina Neutra Gelopar Mgsn-110Md Elegance 1,10Mts C/ Led V/C Color Madera o Blanco ;Vitrina Neutra Gelopar Mgsn-110Md Elegance 1,10Mts C/ Led V/C Color Madera;5;5004;10300000;14420000;
9579;Vitrina Gelopar Vitalis ;Vitrina Refrigerada Gelopar Gpdv-110Br Vitalis 1,10M.2 Placas Frias C/Led Blanco;Vitrina Refrigerada Gelopar Gpdv-110Br Vitalis 1,10M.2 Placas Frias C/Led Blanco;5;5004;4950000;6930000;
11737;Isla Doble Accion Gelopar ;Isla Doble Accion Gelopar 2,89M Gesv-290 Pr V/C  Negro;Isla Doble Accion Gelopar 2,89M Gesv-290 Pr V/C  Negro;5;5002;10700000;14980000;
11594;Exhibidor Gelopar Turmalina ;Exhibidor Gelopar Turmalina Gldf-315 Br Temp -18° A -22°, Luz Led Lateral;Exhibidor Gelopar Turmalina Gldf-315 Br Temp -18° A -22°, Luz Led Lateral;5;5004;8100000;11340000;
1949;Mostrador Gelopar Refrigerado;Mostrador Gelopar Refrigerado Gbfg-215 2,15M Con Mesa De Apoyo Sin Bacha;Mostrador Gelopar Refrigerado Gbfg-215 2,15M Con Mesa De Apoyo Sin Bacha;5;5002;13500000;18900000;
9638;Licuadora Spolu Inox 2Lt ;Licuadora Spolu Inox 2Lt Alta-Rotacion Spl-022;Licuadora Spolu Inox 2Lt Alta-Rotacion Spl-022;1;1003;1094000;1531600;
11472;Maquina Para Hacer Pororo;Maquina Para Hacer Pororo Severin 911-16 1200W;Maquina Para Hacer Pororo Severin 911-16 1200W;1;1009;1;1,4;
4239;Metalcubas Churrasquera A Gas ;Metalcubas Churrasquera A Gas Compacto Cbg-450C;Metalcubas Churrasquera A Gas Compacto Cbg-450C;15;15007;866000;1212400;
2154;Plancha Midas Fierro-Clasico;Plancha Midas Fierro-Clasico;Plancha Midas Fierro-Clasico;13;13003;57000;79800;
