Codigo Proveedor ;Nombre ;Descripcionlarga;Descripcionlarga;Familia;Clase ;Costo ;Preciolista
76STB;Cocina  Electrolux 5 Bocas 93L ;Cocina  Electrolux 5 Bocas 93 Litros 1 Horno Blanco;Cocina  Electrolux 5 Bocas 93 Litros 1 Horno Blanco;15;15006;4224000;5913600
76XGD;Cocina  Electrolux 5 Bocas 94/39L;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Sil;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Sil;15;15006;8253000;11554200
76DXR;Cocina  Electrolux 5 Bocas 94,5/38,8 Lts;Cocina  Electrolux 5 Bocas 94,5/38,8 Lts. 2Hornos Sl;Cocina  Electrolux 5 Bocas 94,5/38,8 Lts. 2Hornos Sl;15;15006;5843000;8180200
76GSR;Cocina  Electrolux 5 Bocas 96,5L ;Cocina  Electrolux 5 Bocas 96,5 Litros 1 Horno Sil;Cocina  Electrolux 5 Bocas 96,5 Litros 1 Horno Sil;15;15006;4527001;6337801
76DBR;Cocina  Electrolux 5 Bocas 94/39L ;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Bla;Cocina  Electrolux 5 Bocas 94/39 Litros 2 Hornos Bla;15;15006;5960000;8344000
EOEI24M5TSCRB;Horno Electrolux  Elect Empot 59 L Negro;Horno Electrolux  electricorico Empot 59 Litros Negro;Horno Electrolux  electricorico Empot 59 Litros Negro;15;15002;2576000;3606400
EOED24M2CMSM;Horno Electrolux  Elect Empot 66L ;Horno Electrolux  electricorico Empot 66 Litros No Conv Inox;Horno Electrolux  electricorico Empot 66 Litros No Conv Inox;15;15002;2475000;3465000
EOEG24H7MPNS;Horno Electrolux  Elect Empot 70L ;Horno Electrolux  electricorico Empot 70 Litros Con Conv Neg;Horno Electrolux  electricorico Empot 70 Litros Con Conv Neg;15;15002;4747001;6645801
EOCC24T7MPQS;Horno Electrolux  Elect Empot 80L;Horno Electrolux  electricorico Empot 80 Litros Con Conv Ino;Horno Electrolux  electricorico Empot 80 Litros Con Conv Ino;15;15002;6411000;8975400
EMDL17S5GPLW;Microonda  Electrolux 17 Litros;Microondas Electrolux  17 Litros;Microondas Electrolux  17 Litros;15;15003;467000;653800
EMDN20S5MLG;Microonda  Electrolux 20 Litros Gris;Microondas Electrolux  20 Litros Gris;Microondas Electrolux  20 Litros Gris;15;15003;744000;1041600
EMDN20S5MLW;Microonda  Electrolux Dig 20L ;Microonda  Electrolux Digital 20 Litros S/Grill Blan;Microonda  Electrolux Digital 20 Litros S/Grill Blan;15;15003;659000;922600
EMDN31G5MNW;Microonda  Electrolux Digital 31L Blan;Microonda  Electrolux Digital 31 Litros C/Grill Blan;Microonda  Electrolux Digital 31 Litros C/Grill Blan;15;15003;931000;1303400
EMDN31G5MNS;Microonda  Electrolux Digital 31L Silv;Microonda  Electrolux Digital 31 Litros C/Grill Silv;Microonda  Electrolux Digital 31 Litros C/Grill Silv;15;15003;1168000;1635200
EMTP28G5MCMSM;Microonda  Electrolux Digital 28 L Inox.;Microonda  Electrolux Digital 28 Litros Inox.;Microonda  Electrolux Digital 28 Litros Inox.;15;15003;2578000;3609200
EMTP28G5MPSB;Microonda  Electrolux Digital 28 L Negro;Microonda  Electrolux Digital 28 Litros Negro;Microonda  Electrolux Digital 28 Litros Negro;15;15003;2201000;3081400
EJWI24S5APKS;Campana Electrolux  Extract Conv De Pared 60 Cm Silv;Campana Electrolux  Extract Conv De Pared 60 Cm Silv;Campana Electrolux  Extract Conv De Pared 60 Cm Silv;15;15005;2125000;2975000
EJWJ24S5APKS;Campana Electrolux  Extract Conv De Pared 60 Cm Silv;Campana Electrolux  Extract Conv De Pared 60 Cm Silv;Campana Electrolux  Extract Conv De Pared 60 Cm Silv;15;15005;2255000;3157000
EJWCP365TEKS;Campana Electrolux  Extract Vidrio D Pared;Campana Electrolux  Extract Vidrio De Pared 90 Cm Si;Campana Electrolux  Extract Vidrio De Pared 90 Cm Si;15;15005;2520000;3528000
EJWG36S5AJS;Campana Electrolux  Extract 90 Cm Silver;Campana Electrolux  Extract 90 Cm Silver;Campana Electrolux  Extract 90 Cm Silver;15;15005;2811001;3935401,4
EJSEP245TBKW;Purificador Electrolux  Horiz 60 Cm Blanco;Purificador Electrolux  Horizontal 60 Cm Blanco;Purificador Electrolux  Horizontal 60 Cm Blanco;15;15005;880000;1232000
EJSEP365TBKW;Purificador Electrolux  Horiz 90 Cm Blanco;Purificador Electrolux  Horizontal 90 Cm Blanco;Purificador Electrolux  Horizontal 90 Cm Blanco;15;15005;935000;1309000
ERD92G5HPW;Frigobar Electrolux  93 Litros Blanco;Frigobar Electrolux  93 Litros Blanco;Frigobar Electrolux  93 Litros Blanco;5;5001;1720000;2408000
ERTM20G5HPW;Heladera Electrolux  Hum. 2P 212 L B;Heladera Electrolux  F/Humedo 2 Puertas 212 Litros B;Heladera Electrolux  F/Humedo 2 Puertas 212 Litros B;5;5001;2012000;2816800
RE31;Heladera Electrolux  Hum. 1 Puerta 240L Bl;Heladera Electrolux  F/Humedo 1 Puerta 240 Litros Bl;Heladera Electrolux  F/Humedo 1 Puerta 240 Litros Bl;5;5001;1468000;2055200
RE31G;Heladera Electrolux  Hum. 1 Puerta 240L Gr;Heladera Electrolux  F/Humedo 1 Puerta 240 Litros Gr;Heladera Electrolux  F/Humedo 1 Puerta 240 Litros Gr;5;5001;1675000;2345000
ERTM28G5HRW;Heladera Electrolux  Hum. 2P 252 L B;Heladera Electrolux  F/Humedo 2 Puertas 252 Litros B;Heladera Electrolux  F/Humedo 2 Puertas 252 Litros B;5;5001;2292000;3208800
DC35A;Heladera Electrolux  Hum. 2P 260 L B;Heladera Electrolux  F/Humedo 2 Puertas 260 Litros B;Heladera Electrolux  F/Humedo 2 Puertas 260 Litros B;5;5001;2326000;3256400
DC35G;Heladera Electrolux  Hum. 2P 260 L G;Heladera Electrolux  F/Humedo 2 Puertas 260 Litros G;Heladera Electrolux  F/Humedo 2 Puertas 260 Litros G;5;5001;2398000;3357200
DF35A;Heladera Electrolux  Seco 2P 261 L Bla;Heladera Electrolux  F/Seco 2 Puertas 261 Litros Bla;Heladera Electrolux  F/Seco 2 Puertas 261 Litros Bla;5;5001;2994000;4191600
