epcodi;epdesc;epdescl;epdescl;effami;efclas;Costo ;epprelis
com073;Hidrolavadora Daewoo 1600W;Hidrolavadora Daewoo 1600W;Hidrolavadora Daewoo 1600W;35;35013;866000;1212000
com074;Cargador De Bateria Damax-15;Cargador De Bateria Daewoo Damax-15;Cargador De Bateria Daewoo Damax-15;35;35007;341000;477000
com075;Cargador De Bateria Damax-30;Cargador De Bateria Daewoo Damax-30;Cargador De Bateria Daewoo Damax-30;35;35007;570000;797000
com076;Soldador Inverter Mini 190I;Soldador Inverter Mini 190I Mma Daewoo;Soldador Inverter Mini 190I Mma Daewoo;35;35014;1060000;1484000
com077;Solda Inverter Dw-200 Mma;Solda Inverter Dw-200 Mma Daewoo;Solda Inverter Dw-200 Mma Daewoo;35;35014;1484000;2077000
com078;Solda Inverter Dw-160 Mma;Solda Inverter Dw-160 Mma Daewoo;Solda Inverter Dw-160 Mma Daewoo;35;35014;1236000;1730000
com079;Soldador Inverter Mini 220I Mm;Soldador Inverter Mini 220I Mma Daewoo;Soldador Inverter Mini 220I Mma Daewoo;35;35014;1223000;1712000
com080;Motobomba Pedrollo 1Hp Cpm158;Pedrollo Cpm158 1Hp 220V 50Hz;Pedrollo Cpm158 1Hp 220V 50Hz;35;35016;1264000;1769000
com081;Bomba Wasko Hydropress 220V;Bomba Wasko Hydropress 900 1/2Hp -  220V;Bomba Wasko Hydropress 900 1/2Hp -  220V;35;35016;272000;380000
com082;Motobomba Valco Jet 148J 1Hp;Motobomba Valco Jet 148J 1Hp;Motobomba Valco Jet 148J 1Hp;35;35016;1251000;1751000
com083;Motobomba Valco 2Hp.Conva-205;Motobomba Valco 2Hp.Conva-205 Iny.220;Motobomba Valco 2Hp.Conva-205 Iny.220;35;35016;1711000;2396000
com084;Motobomba Valco 138J-J 3/4;MOTOBOMBA VALCO 138J-J 3/4;MOTOBOMBA VALCO 138J-J 3/4;35;35016;1056000;1478000
com085;Motobomba Valco C3 Centrif 1Hp;Motobomba Valco C3 Centrifuga 1Hp 220V;Motobomba Valco C3 Centrifuga 1Hp 220V;35;35016;808000;1131000
com086;Tanque Valco 24 Lts;Tanque Valco 24 Lts;Tanque Valco 24 Lts;35;35016;234000;328000
com087;Valco Drenaje De 1 Hp/220 V;Valco Drenaje De 1 Hp/220 V;Valco Drenaje De 1 Hp/220 V;35;35016;1888000;2644000
com088;"Motobomba Naft Hyundai 2"" 5 Hp";"Motobomba Naft Hyundai 2"" 5 Hp";"Motobomba Naft Hyundai 2"" 5 Hp";35;35016;1547000;2165000
com089;"Motobomba Naft Hyundai 3"" 5 Hp";"Motobomba Naft Hyundai 3"" 5 Hp";"Motobomba Naft Hyundai 3"" 5 Hp";35;35016;1754000;2455000
com090;"Motobomba Naft Hyundai 2"" 5hp";"Motobomba Naft Hyundai 2"" 5 Hp";"Motobomba Naft Hyundai 2"" 5 Hp";35;35016;1547000;2165000
com091;"Bomba Diesel 3"" 6Hp Wasko";"Bomba Diesel 3"" 6Hp Wasko Arr Manual";"Bomba Diesel 3"" 6Hp Wasko Arr Manual";35;35016;3568000;4996000
com092;"Bomba Diesel 4"" 9Hp Wasko";"Bomba Diesel 4"" 9Hp Wasko Arr Manual";"Bomba Diesel 4"" 9Hp Wasko Arr Manual";35;35016;4717000;6603000
com093;"Bomba Diesel 3"" 6Hp Wasko";"Bomba Diesel 3"" 6Hp Wasko Arr Electrico";"Bomba Diesel 3"" 6Hp Wasko Arr Electrico";35;35016;4636000;6490000
;;;;;;;
;;;;;;;
;   ;;;;;;
