Codigo Proveedor ;Nombre ;Detalle ;Detalle ;Familia;Clase ;Costo ;Precio Lista
Dimensiones De Embalaje (Cm): 65 X 24.3 X 23.2";23;23007;701000;981000

1159196;Playstation 5 825Gb Sony ;"Marca: Sony
Color: Blanco/Negro
Capacidad De Almacenamiento: 825Gb
Procesador Cpu: X86-64-Amd Ryzen Zen Octa Core 3.5Ghz, 16 Thread
Gpu: Amd Basado En Radeon Rdna 2 10.3 Tflops, Y 36 Ucs De 2.23Ghz (Frecuencia Variable)
Conectividad Wireless: Wi-Fi Ieee 802.11 A/B/G/N/Ac/Ax - Bluetooth 5.1
Interfaz: 3 Usb Type A - 1 Usb-C - Lan (Puerto Ethernet) - Hdmi
Audio: Dolby Audio Y Dts Hd, Master Audio 7.1
Lector Óptico: Blu-Ray 4K Ultra Hd
Voltaje: Bivolt
Peso Bruto (G): 6333
Dimensiones De Embalaje (Cm): 46.7 X 17.4 X 46";"Marca: Sony
Color: Blanco/Negro
Capacidad De Almacenamiento: 825Gb
Procesador Cpu: X86-64-Amd Ryzen Zen Octa Core 3.5Ghz, 16 Thread
Gpu: Amd Basado En Radeon Rdna 2 10.3 Tflops, Y 36 Ucs De 2.23Ghz (Frecuencia Variable)
Conectividad Wireless: Wi-Fi Ieee 802.11 A/B/G/N/Ac/Ax - Bluetooth 5.1
Interfaz: 3 Usb Type A - 1 Usb-C - Lan (Puerto Ethernet) - Hdmi
Audio: Dolby Audio Y Dts Hd, Master Audio 7.1
Lector Óptico: Blu-Ray 4K Ultra Hd
Voltaje: Bivolt
Peso Bruto (G): 6333
Dimensiones De Embalaje (Cm): 46.7 X 17.4 X 46";23;23004;7376000;10326000

1136630;Camara Para Playstation 5 ;"Marca: Sony
Modelo: Cfi-Zey1
Color: Blancco/Negro
Vídeo: Calidad Maxima De Captura: Full Hd 1920 X 1080P
Lente: Duales Gran Angular
Alcance: 40 Cm
Características: El Recurso De Eliminación De Fondos, Permite Recortar El Fondo, Quitarlo Y Reemplazarlo Por Pantalla Verde - Con El Modo Imagen En Imagen El Usuario Se Puede Incluir A Los Videos De Las Partidas Jugadas - Soporte Ajustable Integrado
Longitud Del Cable: 2 Metros
Peso Bruto (G): 308
Dimensiones De Embalaje (Cm): 12 X 6.9 X 22.3";"Marca: Sony
Modelo: Cfi-Zey1
Color: Blancco/Negro
Vídeo: Calidad Maxima De Captura: Full Hd 1920 X 1080P
Lente: Duales Gran Angular
Alcance: 40 Cm
Características: El Recurso De Eliminación De Fondos, Permite Recortar El Fondo, Quitarlo Y Reemplazarlo Por Pantalla Verde - Con El Modo Imagen En Imagen El Usuario Se Puede Incluir A Los Videos De Las Partidas Jugadas - Soporte Ajustable Integrado
Longitud Del Cable: 2 Metros
Peso Bruto (G): 308
Dimensiones De Embalaje (Cm): 12 X 6.9 X 22.3";23;23004;528000;739000

942935;Control Inalamb Sony Plays4 ;"Marca: Sony
Modelo: Dualshock 4 Cuh-Zct2U
Color: Negro
Alto Parlante: Integrado
Conectividad Wireless: Bluetooth
Compatibilidad: Playstation 4
Características: Posee Panel Multitouch - Cuenta Con Vibraciones Que Agregan Más Realismo A Los Juegos, Palancas Que Facilitan La Navegación Y El Deslizamiento Por El Escenario Del Juego, Y Barra De Luz Led Que Interactúa Con Los Juegos
Interfaz: Conector Mini Jack 3.5 Mm - Ext
Batería: 1.000 Mah
Alimentación: A Través De La Entrada Micro Usb
Peso Bruto (G): 348
Dimensiones De Embalaje (Cm): 16.9 X 6.5 X 21.6";"Marca: Sony
Modelo: Dualshock 4 Cuh-Zct2U
Color: Negro
Alto Parlante: Integrado
Conectividad Wireless: Bluetooth
Compatibilidad: Playstation 4
Características: Posee Panel Multitouch - Cuenta Con Vibraciones Que Agregan Más Realismo A Los Juegos, Palancas Que Facilitan La Navegación Y El Deslizamiento Por El Escenario Del Juego, Y Barra De Luz Led Que Interactúa Con Los Juegos
Interfaz: Conector Mini Jack 3.5 Mm - Ext
Batería: 1.000 Mah
Alimentación: A Través De La Entrada Micro Usb
Peso Bruto (G): 348
Dimensiones De Embalaje (Cm): 16.9 X 6.5 X 21.6";23;23004;419000;586000

1136647;Control Inalamb Sony Plays4 ;"Marca: Sony
Modelo: Dualsense Cfi-Zct1W
Color: Blanco/Negro
Conectividad Wireless: Bluetooth 5.1
Micrófono: Integrado
Compatibilidad: Playstation 5
Características: Respuesta Háptica Con Vibraciones Dinámicas Que Simulan El Entorno O El Retroceso De Diferentes Armas - Los Gatillos Adaptativos Proporcionan Diferentes Niveles De Tensión Y Fuerza - Touch Pad De Dos Puntos, Capacitivo Y Con Mecanismo De Pulsación
Alto Parlante: Integrado
Sensor: Acelerometro - Giroscopio
Interfaz: Auxiliar Mini Jack 3.5 Mm
Botón: Crear, Para Producir Contenido De Juegos Y Transmitir En Tiempo Real
Batería: 1.560 Mah
Led: Indica El Estado De Funcionamiento
Alimentación: A Través De La Entrada Usb-C O Estación De Recarga
Peso Bruto (G): 442
Dimensiones De Embalaje (Cm): 19 X 6.9 X 22.3";"Marca: Sony
Modelo: Dualsense Cfi-Zct1W
Color: Blanco/Negro
Conectividad Wireless: Bluetooth 5.1
Micrófono: Integrado
Compatibilidad: Playstation 5
Características: Respuesta Háptica Con Vibraciones Dinámicas Que Simulan El Entorno O El Retroceso De Diferentes Armas - Los Gatillos Adaptativos Proporcionan Diferentes Niveles De Tensión Y Fuerza - Touch Pad De Dos Puntos, Capacitivo Y Con Mecanismo De Pulsación
Alto Parlante: Integrado
Sensor: Acelerometro - Giroscopio
Interfaz: Auxiliar Mini Jack 3.5 Mm
Botón: Crear, Para Producir Contenido De Juegos Y Transmitir En Tiempo Real
Batería: 1.560 Mah
Led: Indica El Estado De Funcionamiento
Alimentación: A Través De La Entrada Usb-C O Estación De Recarga
Peso Bruto (G): 442
Dimensiones De Embalaje (Cm): 19 X 6.9 X 22.3";23;23004;466000;652000

1159325;Playstation 4 Slim + Fifa 21;"Marca
Sony
Modelo: Playstation 4 Slim Cuh-2215B B01X
Color: Jet Black
Capacidad De Almacenamiento: 1Tb
Procesador Cpu: Amd Jaguar X86-64 De 8 Nucleos
Gpu: Amd Basado En Radeon De 1.84 Tflops Con 8Gb Gddr5
Conectividad Wireless: Bluetooth 4.0 - Wi-Fi 802.11 A/B/G/N/Ac
Interfaz: 2 Usb - Hdmi - Lan - Auxiliar (Para Periféricos Especiales Como La Cámara Ps)
Lector Óptico: Reproduce: Bd 6-Speed Cav Y Dvd 8-Speed Cav
Voltaje: 100 - 240V ~ 50/60 Hz
Peso Bruto (G): 3293
Dimensiones De Embalaje (Cm): 42.7 X 9.3 X 34";"Marca
Sony
Modelo: Playstation 4 Slim Cuh-2215B B01X
Color: Jet Black
Capacidad De Almacenamiento: 1Tb
Procesador Cpu: Amd Jaguar X86-64 De 8 Nucleos
Gpu: Amd Basado En Radeon De 1.84 Tflops Con 8Gb Gddr5
Conectividad Wireless: Bluetooth 4.0 - Wi-Fi 802.11 A/B/G/N/Ac
Interfaz: 2 Usb - Hdmi - Lan - Auxiliar (Para Periféricos Especiales Como La Cámara Ps)
Lector Óptico: Reproduce: Bd 6-Speed Cav Y Dvd 8-Speed Cav
Voltaje: 100 - 240V ~ 50/60 Hz
Peso Bruto (G): 3293
Dimensiones De Embalaje (Cm): 42.7 X 9.3 X 34";23;23004;3536000;4950000

983495;Playstation 4 Slim Sony;"Marca: Sony
Modelo: Playstation 4 Slim Cuh-2215B B01X
Color: Jet Black
Capacidad De Almacenamiento: 1Tb
Procesador Cpu: Amd Jaguar X86-64 De 8 Nucleos
Gpu: Amd Basado En Radeon De 1.84 Tflops Con 8Gb Gddr5
Conectividad Wireless: Bluetooth 4.0 - Wi-Fi 802.11 A/B/G/N/Ac
Interfaz: 2 Usb - Hdmi - Lan - Auxiliar (Para Periféricos Especiales Como La Cámara Ps)
Lector Óptico: Reproduce: Bd 6-Speed Cav Y Dvd 8-Speed Cav
Voltaje: 100 - 240V ~ 50/60 Hz
Peso Bruto (G): 3162
Dimensiones De Embalaje (Cm): 42.8 X 9.4 X 34";"Marca: Sony
Modelo: Playstation 4 Slim Cuh-2215B B01X
Color: Jet Black
Capacidad De Almacenamiento: 1Tb
Procesador Cpu: Amd Jaguar X86-64 De 8 Nucleos
Gpu: Amd Basado En Radeon De 1.84 Tflops Con 8Gb Gddr5
Conectividad Wireless: Bluetooth 4.0 - Wi-Fi 802.11 A/B/G/N/Ac
Interfaz: 2 Usb - Hdmi - Lan - Auxiliar (Para Periféricos Especiales Como La Cámara Ps)
Lector Óptico: Reproduce: Bd 6-Speed Cav Y Dvd 8-Speed Cav
Voltaje: 100 - 240V ~ 50/60 Hz
Peso Bruto (G): 3162
Dimensiones De Embalaje (Cm): 42.8 X 9.4 X 34";23;23004;3124000;4373000

1159332;Playstation 4 Slim + 3Juegos ;"Marca: Sony
Modelo: Playstation 4 Slim Cuh-2215B B01X
Color: Jet Black
Capacidad De Almacenamiento: 1Tb
Procesador Cpu: Amd Jaguar X86-64 De 8 Nucleos
Gpu: Amd Basado En Radeon De 1.84 Tflops Con 8Gb Gddr5
Conectividad Wireless: Bluetooth 4.0 - Wi-Fi 802.11 A/B/G/N/Ac
Interfaz: 2 Usb - Hdmi - Lan - Auxiliar (Para Periféricos Especiales Como La Cámara Ps)
Lector Óptico: Reproduce: Bd 6-Speed Cav Y Dvd 8-Speed Cav
Voltaje: 100 - 240V    50/60 Hz
Peso Bruto (G): 3458
Dimensiones De Embalaje (Cm): 42.7 X 9.3 X 34";"Marca: Sony
Modelo: Playstation 4 Slim Cuh-2215B B01X
Color: Jet Black
Capacidad De Almacenamiento: 1Tb
Procesador Cpu: Amd Jaguar X86-64 De 8 Nucleos
Gpu: Amd Basado En Radeon De 1.84 Tflops Con 8Gb Gddr5
Conectividad Wireless: Bluetooth 4.0 - Wi-Fi 802.11 A/B/G/N/Ac
Interfaz: 2 Usb - Hdmi - Lan - Auxiliar (Para Periféricos Especiales Como La Cámara Ps)
Lector Óptico: Reproduce: Bd 6-Speed Cav Y Dvd 8-Speed Cav
Voltaje: 100 - 240V    50/60 Hz
Peso Bruto (G): 3458
Dimensiones De Embalaje (Cm): 42.7 X 9.3 X 34";23;23004;3536000;4950000

1136661;Consola Xbox One Serie S 512Gb;"Marca: Microsoft
Modelo: Xbox One Series S All Digital
Color: Blanco
Capacidad De Almacenamiento: Ssd Nvme De 512Gb
Procesador Cpu: Amd Zen 2 Octa Core De 3.6Ghz (3.4Ghz Con Smt)
Gpu: Amd Rdna 2 De 1.565Ghz Para 4 Teraflops
Memoria: 10Gb Gddr6 Con Bus De 128 Bits
Conectividad Wireless: Wi-Fi 802.11Ac, Doble Banda (2.4 Y 5Ghz)
Resolución: 1440P A 120 Fps (Resolución De Juego)
Audio: Dolby Digital 5.1, Dts 5.1, Dolby Truehd Con Atmos Y Lpcm De Hasta 7.1 Canales
Interfaz: 1 Hdmi (Out) - 3 Usb 3.1 Gen - Ethernet
Slot De Expansión: Compatible Con La Tarjeta De Expansión Seagate De 1Tb
Voltaje: Bivolt
Peso Bruto (G): 3246
Dimensiones De Embalaje (Cm): 35.8 X 12.6 X 29";"Marca: Microsoft
Modelo: Xbox One Series S All Digital
Color: Blanco
Capacidad De Almacenamiento: Ssd Nvme De 512Gb
Procesador Cpu: Amd Zen 2 Octa Core De 3.6Ghz (3.4Ghz Con Smt)
Gpu: Amd Rdna 2 De 1.565Ghz Para 4 Teraflops
Memoria: 10Gb Gddr6 Con Bus De 128 Bits
Conectividad Wireless: Wi-Fi 802.11Ac, Doble Banda (2.4 Y 5Ghz)
Resolución: 1440P A 120 Fps (Resolución De Juego)
Audio: Dolby Digital 5.1, Dts 5.1, Dolby Truehd Con Atmos Y Lpcm De Hasta 7.1 Canales
Interfaz: 1 Hdmi (Out) - 3 Usb 3.1 Gen - Ethernet
Slot De Expansión: Compatible Con La Tarjeta De Expansión Seagate De 1Tb
Voltaje: Bivolt
Peso Bruto (G): 3246
Dimensiones De Embalaje (Cm): 35.8 X 12.6 X 29";23;23004;3338000;4673000

1163636;Drone Dji Mavic Fpv Combo ;"Marca: Dji
Modelo: Mavic Fpv Combo (Na)
Color: Gris
Memoria: Drone E Googles V2: Soportan Tarjeta Micro Sd Uhs-I Clase 3 De Hasta 256Gb
Cámara: Cmos 1/2.3"" De 12Mp Fov 150° 14.66 Mm (Formato Equivalente A 35 Mm) F/2.8
Batería: Drone: 3.850 Mah - Goggles V2: 1.800 Mah
Tiempo De Vuelo: Aproximadamente 20 Minutos - En Modo Vuelo Estacionario, Hasta 16 Minutos
Compatibilidad: Dispositivos Móviles Ios 11 Y Android 6.0, O Versiones Superiores De Estos Sistemas
Control: Frecuencia De Operación: 2.400 ~ 2.4835Ghz Y 5.725 ~ 5.850Ghz - Distancia Máxima De Transmisión: 10 Km (Fcc), 6 Km (Ce), 6 Km (Srrc) Y 6 Km (Mic)
Características: Integra Tecnología De Estabilización Electrónica De Imagen Rocksteady - Posee 3 Modos De Vuelo Intuitivos: Modo N Con Recursos De Seguridad Como Detección De Obstáculos, Modo M Que Posibilita Personalizar Las Configuraciones Para Mejor Control Durante El Vuelo Y Modo S, El Cual Combina La Libertad De Vuelos Manuales A Los Controles Simplificados Del Drone - Sistema De Detección De Obstáculos Frontal E Inferior (Sensores Visuales Dobles + Tof) - El Modo Audiencia Permite Compartir Panoramas Aéreos A Otros Goggles V2 Conectados Al Drone - Soporta Perfil De Colores D-Cinelike - Cuenta Con Función De Vuelo Estacionario De Emergencia - Compatible Con Aplicaciones Dji Fly Y Virtual Flight";"Marca: Dji
Modelo: Mavic Fpv Combo (Na)
Color: Gris
Memoria: Drone E Googles V2: Soportan Tarjeta Micro Sd Uhs-I Clase 3 De Hasta 256Gb
Cámara: Cmos 1/2.3"" De 12Mp Fov 150° 14.66 Mm (Formato Equivalente A 35 Mm) F/2.8
Batería: Drone: 3.850 Mah - Goggles V2: 1.800 Mah
Tiempo De Vuelo: Aproximadamente 20 Minutos - En Modo Vuelo Estacionario, Hasta 16 Minutos
Compatibilidad: Dispositivos Móviles Ios 11 Y Android 6.0, O Versiones Superiores De Estos Sistemas
Control: Frecuencia De Operación: 2.400 ~ 2.4835Ghz Y 5.725 ~ 5.850Ghz - Distancia Máxima De Transmisión: 10 Km (Fcc), 6 Km (Ce), 6 Km (Srrc) Y 6 Km (Mic)
Características: Integra Tecnología De Estabilización Electrónica De Imagen Rocksteady - Posee 3 Modos De Vuelo Intuitivos: Modo N Con Recursos De Seguridad Como Detección De Obstáculos, Modo M Que Posibilita Personalizar Las Configuraciones Para Mejor Control Durante El Vuelo Y Modo S, El Cual Combina La Libertad De Vuelos Manuales A Los Controles Simplificados Del Drone - Sistema De Detección De Obstáculos Frontal E Inferior (Sensores Visuales Dobles + Tof) - El Modo Audiencia Permite Compartir Panoramas Aéreos A Otros Goggles V2 Conectados Al Drone - Soporta Perfil De Colores D-Cinelike - Cuenta Con Función De Vuelo Estacionario De Emergencia - Compatible Con Aplicaciones Dji Fly Y Virtual Flight";23;23010;11942000;16718000

1163650;Drone Dji Mavic 2 Zoom ;"Marca: Dji
Color: Gris
Modelo: Mavic 2 Zoom (Na)
Memoria: 8Gb, Ampliable A Través De La Tarjeta Micro Sd Uhs-1 Clase 3 De Hasta 128Gb
Cámara: Cmos 1/2.3"" De 20Mp Con Zoom Óptico De 24 Y 48 Mm, Fov 83° 24 Mm Y De 48° 48 Mm (Formato Equivalente A 35 Mm: 24-28 Mm) F/2.8 (24 Mm) Y F/3.8 (48 Mm)
Ángulo De Inclinación: Modo S Con Control Remoto: 35° - Modo P: 25°
Batería: Drone: 3.850 Mah - Control Remoto: 3.950 Mah
Tiempo De Vuelo: Aproximadamente 31 Minutos
Compatibilidad: Dispositivos Móviles Ios 10 Y Android 5.0, O Versiones Superiores De Estos Sistemas
Características: Transmite Video Con Calidad Full Hd En Hasta 8 Km De Distancia Del Dispositivo Móvil Conectado, En Áreas Libres De Interferencias - Realiza Capturas Hyperlapse, Círculo, Courselock, Quickshot, Panorámicas, Dolly Zoom, Asteroide Y Boomerang - Cuenta Con Tecnología Hdr - Modo Hyperlight Que Realza La Luminosidad En Las Fotografías - Soporta Perfil De Colores Dlog-M De 10 Bits - Con Modos De Rastreo Inteligente Active Track 2.0, Punto De Interés 2.0 Y Waypoint 2.0 - Integra Sensor De Detección De Obstáculos Omnidireccional - Compatible Con La Aplicación Dji Go 4";"Marca: Dji
Color: Gris
Modelo: Mavic 2 Zoom (Na)
Memoria: 8Gb, Ampliable A Través De La Tarjeta Micro Sd Uhs-1 Clase 3 De Hasta 128Gb
Cámara: Cmos 1/2.3"" De 20Mp Con Zoom Óptico De 24 Y 48 Mm, Fov 83° 24 Mm Y De 48° 48 Mm (Formato Equivalente A 35 Mm: 24-28 Mm) F/2.8 (24 Mm) Y F/3.8 (48 Mm)
Ángulo De Inclinación: Modo S Con Control Remoto: 35° - Modo P: 25°
Batería: Drone: 3.850 Mah - Control Remoto: 3.950 Mah
Tiempo De Vuelo: Aproximadamente 31 Minutos
Compatibilidad: Dispositivos Móviles Ios 10 Y Android 5.0, O Versiones Superiores De Estos Sistemas
Características: Transmite Video Con Calidad Full Hd En Hasta 8 Km De Distancia Del Dispositivo Móvil Conectado, En Áreas Libres De Interferencias - Realiza Capturas Hyperlapse, Círculo, Courselock, Quickshot, Panorámicas, Dolly Zoom, Asteroide Y Boomerang - Cuenta Con Tecnología Hdr - Modo Hyperlight Que Realza La Luminosidad En Las Fotografías - Soporta Perfil De Colores Dlog-M De 10 Bits - Con Modos De Rastreo Inteligente Active Track 2.0, Punto De Interés 2.0 Y Waypoint 2.0 - Integra Sensor De Detección De Obstáculos Omnidireccional - Compatible Con La Aplicación Dji Go 4";23;23010;11118000;15564000

1033519;Nintendo Switch 2019 ;"Marca: Nintendo
Modelo: Switch 2019
Color: Rojo/Azul
Touch Screen Lcd De 6.2""
Procesador Cpu: Procesador Nvidia Custom Tegra
Memoria Interna: 32Gb
Memoria Externa: Soporta Tarjeta Micro Sd De Hasta 2Tb
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac - Bluetooth 4.1
Conexión A Internet: Wi-Fi
Características: Ofrece Tres Opciones De Modos De Juego: Joy-Cons Conectados A La Pantalla, Joy-Cons Separados De La Pantalla, Utilizada Con El Soporte, Y Joy-Cons Separados De La Pantalla, Conectada A La Tv A Traves Del Dock
Sensor: Acelerómetro - Giroscopio - Sensor De Brillo
Audio: Compatible Con Pcm Linear De 5.1 Canales
Resolución De La Pantalla: Hd 1280 X 720P
Alto Parlante: Estereo Integrados
Interfaz: Aparato: Usb-C - Mini Jack 3.5Mm / Dock: 2 Usb - Usb 3.0 - Usb-C - Hdmi
Batería: 4.310 Mah
Duração Da Bateria: Hasta 9 Horas
Tiempo De Recarga: Requiere Aproximadamente 3 Horas
Fuente De Alimentación: Bivolt
Peso Bruto (G): 1490
Dimensiones De Embalaje (Cm): 34.8 X 9.4 X 19.9";"Marca: Nintendo
Modelo: Switch 2019
Color: Rojo/Azul
Touch Screen Lcd De 6.2""
Procesador Cpu: Procesador Nvidia Custom Tegra
Memoria Interna: 32Gb
Memoria Externa: Soporta Tarjeta Micro Sd De Hasta 2Tb
Conectividad Wireless: Wi-Fi 802.11 A/B/G/N/Ac - Bluetooth 4.1
Conexión A Internet: Wi-Fi
Características: Ofrece Tres Opciones De Modos De Juego: Joy-Cons Conectados A La Pantalla, Joy-Cons Separados De La Pantalla, Utilizada Con El Soporte, Y Joy-Cons Separados De La Pantalla, Conectada A La Tv A Traves Del Dock
Sensor: Acelerómetro - Giroscopio - Sensor De Brillo
