;nom corto ;nom largo ;detalle;fam;clase;;
5198;Ropero Politorno 2 Puertas 2 Cajones Ref: 180081 Artico;Ropero Politorno 2 Puertas 2 Cajones Ref: 180081 Artico;Ropero Politorno 2 Puertas 2 Cajones Ref: 180081 Artico;2;2004;430000;602000
5203;Ventilador De Pie Jam Fst 50 20'' 5 Aspas Base Redonda;Ventilador De Pie Jam Fst-50 20'' 5 Aspas Base Redonda;Ventilador De Pie Jam Fst-50 20'' 5 Aspas Base Redonda;25;25002;240000;336000
11833;Cocina A Gas Jam Estandar 4H;Cocina A Gas Jam. Mod Estandar 4H Blanco;Cocina A Gas Jam. Mod Estandar 4H Blanco;15;15006;440000;616000
5446;Aire Acondicionador Jam 48.000 Btu Jc 48Zhra F C 380V 50Hz R410A;Aire Acondicionador Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz R410A;Aire Acondicionador Jam 48.000 Btu Jc-48Zhra F/C 380V/50Hz R410A;25;25004;7900000;11060000
5447;Licuadora  Oster  15Lts Blstmg Rd0 051 De 8 Veloc. 450 W Color Rojo;Licuadora  Oster  15Lts Blstmg-Rd0-051 De 8 Veloc. 450 W Color Rojo;Licuadora  Oster  15Lts Blstmg-Rd0-051 De 8 Veloc. 450 W Color Rojo;1;1003;382000;5345000
11834;Cocina A Gas Jam Estandar 4H;Cocina A Gas Jam Estandar Negra 4H;Cocina A Gas Jam Estandar Negra 4H;15;15006;480000;672000
5918;Gabinete Politorno Maia 3 Cajones 2487 Turquesa;Gabinete Politorno Maia 3 Cajones 2487 Turquesa;Gabinete Politorno Maia 3 Cajones 2487 Turquesa;2;2005;350000;490000
11835;Cocina A Gas Jam Luxus 4H;Cocina A Gas Jam Mod Luxus Titanium Gris 4 H;Cocina A Gas Jam Mod Luxus Titanium Gris 4 H;15;15006;575000;805000
5931;Rack Politorno Ottawa Para Tv De 55 160527 Tabaco;Rack Politorno Ottawa Para Tv De 55 160527 Tabaco;Rack Politorno Ottawa Para Tv De 55 160527 Tabaco;2;2003;635000;889000
5934;Gabinete Politorno Singolare 2 Ptas 4 Cajones 1050Mm 160465 Blanco Ciruela Negra;Gabinete Politorno Singolare 2 Ptas 4 Cajones 1050Mm 160465 Blanco/Ciruela Negra;Gabinete Politorno Singolare 2 Ptas 4 Cajones 1050Mm 160465 Blanco/Ciruela Negra;2;2005;810000;1134000
5956;Licuadora Oster Xpert Blstvb G00 051 Vaso De Vidrio 2L 8Tazas;Licuadora Oster Xpert Blstvb-G00-051 Vaso De Vidrio 2L 8Tazas;Licuadora Oster Xpert Blstvb-G00-051 Vaso De Vidrio 2L 8Tazas;1;1003;1714000;23991000
6068;Heladera Jam Silver F S Jams 226S 2P. 320Lts;Heladera Jam Silver F/S Jams-226S 2P. 320Lts;Heladera Jam Silver F/S Jams-226S 2P. 320Lts;5;5001;2650000;3710000
6804;Heladera Jam Inox F H Jamd 273X 2Ptas 300Lts;Heladera Jam Inox F/H Jamd-273X 2Ptas 300Lts;Heladera Jam Inox F/H Jamd-273X 2Ptas 300Lts;5;5001;1750000;2450000
7125;Exhibidora Briket M5000 Bc 500 Lts R290;Exhibidora Briket M5000 Bc-500 Lts R290;Exhibidora Briket M5000 Bc-500 Lts R290;5;5004;6700000;9380000
11881;Cocina A Gas Jam Safiro 4H;Cocina A Gas Jam Mod. Safiro Blanco 4H;Cocina A Gas Jam Mod. Safiro Blanco 4H;15;15006;545000;763000
8352;Cocina Vitroceramica Jam Mod. Fyd Ds20 21 1 Quemador Tactil Premium;Cocina Vitroceramica Jam Mod. Fyd-Ds20-21 1 Quemador Tactil Premium;Cocina Vitroceramica Jam Mod. Fyd-Ds20-21 1 Quemador Tactil Premium;15;15004;210000;294000
11850;Cocina Gas Jam 4H Mesa Laguna;Cocina A Gas Jam 4H De Mesa Mod.  Laguna ;Cocina A Gas Jam 4H De Mesa Mod.  Laguna Color Disponible Negro Blanco;15;15006;280000;392000
9638;Licuadora Spolu Inox 2Lt Alta Rotacion Spl 022;Licuadora Spolu Inox 2Lt Alta-Rotacion Spl-022;Licuadora Spolu Inox 2Lt Alta-Rotacion Spl-022;1;1003;1094000;1532000
9838;Cocina A Gas Jam Mod. Combi 4H Con Horno Electrico Blanco;Cocina A Gas Jam Mod. Combi 4H Con Horno Electrico Blanco;Cocina A Gas Jam Mod. Combi 4H Con Horno Electrico Blanco;15;15006;635000;889000
9873;Cocina A Gas Jam Mod.Luxus 4H;Cocina A Gas Jam Mod.Luxus 4H;Cocina A Gas Jam Mod.Luxus 4H;15;15006;620000;868000
9878;Cocina A Gas Jam Mod. 4H Safiro Blanco;Cocina A Gas Jam Mod. 4H Safiro Blanco;Cocina A Gas Jam Mod. 4H Safiro Blanco;15;15006;545000;763000
9925;Centrifugadora Jam Tambor Inox 55 Kg 2800 Rpm;Centrifugadora Jam Tambor Inox 55 Kg 2800 Rpm;Centrifugadora Jam Tambor Inox 55 Kg 2800 Rpm;13;13002;525000;735000
